
Medida 1 em 2018-12-26 09:15:11.932027

Raio	Carga


5.54902e-07	1.37645e-18
4.89275e-07	1.29199e-18
1.09243e-07	3.13039e-19
7.85367e-07	2.39519e-18
1.03963e-06	4.19783e-18
9.31497e-07	4.68561e-18
6.16591e-07	3.01589e-18
9.18909e-07	4.61965e-18
2.24157e-06	8.47073e-18
8.28001e-07	3.78529e-18
1.42614e-06	7.07554e-18

7.35765e-07	4.00117e-18
1.09379e-06	5.37834e-18
6.23851e-07	3.05315e-18
8.93112e-07	4.27532e-18
8.05875e-07	3.52079e-18
5.25295e-07	2.15166e-18

7.35765e-07	4.00117e-18
1.09379e-06	5.37834e-18
6.23851e-07	3.05315e-18
8.93112e-07	4.27532e-18
8.05875e-07	3.52079e-18
5.25295e-07	2.15166e-18

7.35765e-07	4.00117e-18
1.09379e-06	5.37834e-18
6.23851e-07	3.05315e-18
8.93112e-07	4.27532e-18
8.05875e-07	3.52079e-18
5.25295e-07	2.15166e-18

